name,날짜,상대,결과,타순,P,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,avg,출루,장타,OPS,투구,avLI,RE24,WPA
나성범,05-05,@삼성,W 4:0,3,DH,True,3,1,2,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0.667,0.75,1.667,2.417,20,0.49,1.15,0.129
나성범,05-06,@삼성,W 4:3,3,DH,True,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.286,0.444,0.714,1.159,19,0.61,-1.52,-0.08
나성범,05-07,@삼성,W 8:2,3,DH,True,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.2,0.385,0.5,0.885,11,0.39,-0.87,-0.03
나성범,05-08,LG,W 13:5,3,DH,True,3,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0.154,0.389,0.385,0.774,27,0.85,0.79,0.054
나성범,05-10,LG,L 8:10,3,DH,True,5,2,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0.278,0.435,0.444,0.879,15,0.54,1.04,0.104
나성범,05-12,KT,W 7:6,3,DH,True,5,2,2,0,0,1,5,2,0,0,0,0,0,2,0,0,0,0.304,0.429,0.565,0.994,23,1.29,1.3,0.43
나성범,05-13,KT,W 5:4,3,DH,True,5,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.321,0.424,0.643,1.067,27,2.13,1.32,0.393
나성범,05-14,KT,W 1:0,3,DH,True,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.281,0.378,0.563,0.941,15,1.09,-1.47,-0.13
나성범,05-15,@SK,W 6:2,3,DH,True,3,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0.257,0.381,0.514,0.895,25,1.01,0.67,0.067
나성범,05-16,@SK,W 2:1,3,DH,True,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.237,0.37,0.474,0.843,15,0.8,-0.29,-0.041
나성범,05-17,@SK,W 11:5,3,DH,True,3,3,2,0,0,1,5,1,0,0,2,0,0,0,0,0,0,0.268,0.412,0.561,0.973,18,0.52,1.56,0.026
나성범,05-19,@두산,W 5:4,3,DH,True,5,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.283,0.411,0.543,0.954,19,0.67,-0.46,0.055
나성범,05-20,@두산,L 1:2,3,DH,True,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.255,0.377,0.49,0.867,20,1.31,-1.13,-0.172
나성범,05-21,@두산,W 12:6,3,DH,True,6,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.263,0.373,0.474,0.847,15,1.56,0.15,0.159
나성범,05-22,한화,L 3:5,3,DH,True,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.246,0.352,0.443,0.795,13,0.9,-1.13,-0.113
나성범,05-23,한화,W 3:0,3,DH,True,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.277,0.373,0.462,0.835,9,0.66,1.08,0.095
나성범,05-24,한화,W 10:5,3,RF,True,4,1,2,1,0,0,3,3,0,0,1,0,0,1,0,0,0,0.29,0.388,0.478,0.866,16,1.53,3.28,0.39
나성범,05-26,키움,W 7:2,3,DH,True,3,1,2,2,0,0,4,1,0,0,1,0,0,1,0,0,0,0.306,0.405,0.514,0.919,13,0.37,1.54,0.109
나성범,05-27,키움,W 10:3,3,DH,True,3,1,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0.32,0.42,0.52,0.94,17,0.7,0.56,0.047
나성범,05-28,키움,W 9:6,3,DH,True,3,3,2,0,0,2,8,3,0,0,1,0,0,1,0,0,0,0.333,0.435,0.603,1.037,20,1.4,2.25,0.258
나성범,05-29,@삼성,L 4:5,3,DH,True,4,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.329,0.427,0.622,1.049,18,0.64,0.25,0.037
나성범,05-30,@삼성,L 1:9,3,DH,True,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.314,0.41,0.593,1.003,18,0.8,-1.02,-0.081
나성범,05-31,@삼성,W 18:7,3,RF,True,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.308,0.4,0.582,0.982,23,0.24,-0.23,-0.011
나성범,06-02,SK,L 2:8,3,DH,True,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.309,0.404,0.574,0.978,18,0.56,-0.36,-0.07
나성범,06-03,SK,W 8:6,3,DH,True,4,2,3,1,0,1,7,2,0,0,1,0,0,1,0,0,0,0.327,0.421,0.622,1.044,14,0.71,2.89,0.26
나성범,06-04,SK,W 10:0,3,DH,True,4,1,2,1,0,0,3,2,0,0,1,0,0,1,0,0,0,0.333,0.429,0.627,1.056,24,0.71,1.82,0.067
나성범,06-05,@한화,W 13:2,3,DH,True,5,2,3,1,0,2,10,4,0,0,1,0,0,2,0,0,0,0.346,0.44,0.692,1.132,28,0.67,2.6,0.13
